Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-Dec-23,1686.35,1686.35,1666.9,1670.7,1674.069462,1068307,33846,1788420125,172486,16.15,19.45,-15.65
21-Dec-23,1651.7,1689.85,1649.45,1686.4,1673.151409,314004,9617,525376235,146162,46.55,40.4,34.7
20-Dec-23,1655.2,1668.55,1644.2,1656.2,1662.084132,886915,41162,1474127348,670287,75.58,24.35,1
19-Dec-23,1646,1658.15,1644,1653.05,1650.764073,271563,13907,448286444,157368,57.95,14.15,7.05
18-Dec-23,1660,1664.5,1650.7,1656,1656.691751,1054348,35847,1746729634,160065,15.18,13.8,-4
15-Dec-23,1655.2,1666.55,1646.3,1656.3,1651.636618,669526,20987,1105813658,176745,26.4,20.25,1.1
14-Dec-23,1644,1658.5,1644,1649.95,1651.385736,431339,15900,712307072,282586,65.51,14.5,5.95
13-Dec-23,1633.65,1636.25,1615.2,1631.6,1626.733877,135396,4189,220253260,76189,56.27,21.05,-2.05
12-Dec-23,1652.55,1656.95,1631.35,1634.5,1643.236003,264768,9678,435076310,87242,32.95,25.6,-18.05
11-Dec-23,1659.95,1664.1,1646.65,1650.75,1652.068913,1345277,38503,2222490311,308459,22.93,17.45,-9.2
08-Dec-23,1630.6,1655,1630.6,1653.1,1649.736773,1470459,50516,2425870285,567191,38.57,24.4,22.5
07-Dec-23,1627.2,1634.25,1616,1630.6,1627.731897,117119,4789,190638332,64832,55.36,18.25,3.4
06-Dec-23,1636.9,1636.9,1616.9,1627.2,1627.284693,136308,5519,221811922,69405,50.92,20,-9.7
05-Dec-23,1622,1636.5,1617,1623.45,1625.885763,482076,9575,783800505,197517,40.97,19.5,1.45
04-Dec-23,1590,1612,1572.95,1609.05,1597.555342,2254759,72340,3602102285,1136144,50.39,39.05,19.05
01-Dec-23,1559,1565.55,1551.6,1555.5,1558.180431,1238082,42667,1929155144,294026,23.75,13.95,-3.5
30-Nov-23,1565.45,1570.1,1542.1,1559,1553.510512,425322,19087,660742198,216203,50.83,28,-6.45
29-Nov-23,1533.2,1562.5,1533.2,1559.25,1549.623605,623499,24525,966188768,477681,76.61,29.3,26.05
28-Nov-23,1535,1537.85,1525.35,1529.6,1532.194069,170651,4740,261470450,123530,72.39,12.5,-5.4
24-Nov-23,1521.75,1533.85,1520,1532.05,1530.399474,1003759,29189,1536152246,210092,20.93,13.85,10.3
23-Nov-23,1509.8,1523.7,1509,1521.75,1520.098783,141371,5470,214897885,45185,31.96,14.7,11.95
22-Nov-23,1513.1,1519.5,1503.6,1512.35,1513.555577,98764,4381,149484803,56792,57.5,15.9,-0.75
21-Nov-23,1512.05,1521.95,1511.35,1517.65,1517.234277,123128,4543,186814022,62342,50.63,10.6,5.6
20-Nov-23,1512,1512.95,1501.55,1505.15,1504.940504,339684,9413,511204210,126977,37.38,11.4,-6.85
17-Nov-23,1498.85,1507.55,1489.2,1505.05,1503.455027,616783,24957,927305502,172795,28.02,18.35,6.2
16-Nov-23,1510,1519.3,1504.3,1508.35,1512.952592,412610,7792,624259369,319322,77.39,15,-1.65
15-Nov-23,1500,1510.95,1500,1504.3,1506.849272,357471,16556,538654916,196614,55,10.95,4.3
13-Nov-23,1490.35,1496,1485.95,1489.15,1491.438722,608994,30863,908277233,176666,29.01,10.05,-1.2
12-Nov-23,1502.9,1502.9,1496.8,1500.05,1499.952024,60093,5235,90136617,44129,73.43,6.1,-2.85
10-Nov-23,1484.35,1496.75,1480.9,1490.45,1487.982605,600868,38988,894081132,141574,23.56,15.85,6.1
09-Nov-23,1488.95,1492.8,1483.7,1487.2,1488.235288,289296,8243,430540516,220269,76.14,9.1,-1.75
08-Nov-23,1487.9,1493.25,1480.5,1491.2,1489.396816,322820,15037,480807080,203825,63.14,12.75,3.3
07-Nov-23,1496.95,1496.95,1477.2,1488.6,1484.122645,408634,13329,606462973,342640,83.85,19.75,-8.35
06-Nov-23,1498.8,1498.8,1483.55,1494.2,1486.646745,348983,14253,518814441,279381,80.06,15.25,-4.6
03-Nov-23,1488,1491.45,1481,1483.55,1487.22269,1061846,34694,1579201464,263052,24.77,10.45,-4.45
02-Nov-23,1488,1490.8,1470.25,1476.85,1478.585109,149155,6065,220538362,62889,42.16,20.55,-11.15
01-Nov-23,1465,1477.5,1463.55,1474.75,1468.55845,305922,22074,449264338,178128,58.23,13.95,9.75
31-Oct-23,1500.05,1500.5,1474,1476.7,1482.189251,136966,7432,203009533,85019,62.07,26.5,-23.35
30-Oct-23,1465,1489.9,1462.15,1484.9,1477.626369,382441,19734,565104906,169575,44.34,27.75,19.9
27-Oct-23,1473.45,1478.45,1467,1469.55,1471.187758,1166916,52260,1716752534,355768,30.49,11.45,-3.9
26-Oct-23,1495,1495,1460.55,1463.5,1470.248011,1139500,72953,1675347609,807482,70.86,34.45,-31.5
25-Oct-23,1522,1522,1491.5,1496.55,1504.253281,289287,12226,435160919,208792,72.17,30.5,-25.45
23-Oct-23,1525,1528.95,1500.35,1505.8,1518.797503,337037,22006,511890954,179478,53.25,28.6,-19.2
20-Oct-23,1502.25,1527,1502.25,1523.05,1518.658437,848642,31826,1288797333,403686,47.57,24.75,20.8
19-Oct-23,1507,1526.25,1503.35,1514.95,1521.441374,575167,9994,875082871,505311,87.85,22.9,7.95
18-Oct-23,1541.95,1541.95,1518.15,1519.7,1524.367176,443038,35320,675352585,308856,69.71,23.8,-22.25
17-Oct-23,1558,1558,1535,1541.35,1543.274736,366832,11008,566122558,238568,65.03,23,-16.65
16-Oct-23,1536.7,1536.7,1522,1529.5,1529.003065,589621,23899,901532316,399840,67.81,14.7,-7.2
13-Oct-23,1541.4,1548.7,1530,1536.75,1539.299483,1179508,41232,1815616055,471300,39.96,18.7,-4.65
12-Oct-23,1538,1552,1531.65,1549.85,1542.22781,319472,11375,492698603,241306,75.53,20.35,11.85
11-Oct-23,1539.5,1542.35,1529,1538.6,1531.610101,1089099,6467,1668075029,1037731,95.28,13.35,-0.9
10-Oct-23,1521,1528.95,1515.3,1524.6,1522.562683,108219,5531,164770211,51028,47.15,13.65,3.6
09-Oct-23,1529,1529,1512.35,1516.15,1518.082211,367091,26357,557274317,238867,65.07,16.65,-12.85
06-Oct-23,1545.95,1545.95,1530.75,1534.15,1538.025154,544555,33306,837539288,149281,27.41,15.2,-11.8
05-Oct-23,1536.7,1551.9,1533.95,1535.85,1546.431526,1539282,27039,2380394212,1279809,83.14,17.95,-0.85
04-Oct-23,1500,1535.4,1488.65,1530.8,1518.39299,535059,15807,812429835,331301,61.92,46.75,30.8
