Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-December-2023,2392.20,2428.00,2381.95,2405.95,2393.950075971347948773,4607,594,11028928.00,1988,43.15,46.05,13.75
21-December-2023,2357.10,2405.65,2352.35,2393.20,2379.760974186962228379,6857,879,16318021.00,1947,28.39,53.30,36.10
20-December-2023,2416.60,2437.40,2360.00,2368.85,2397.557412989860235681,10947,1552,26246061.00,3963,36.20,77.40,-47.75
19-December-2023,2360.75,2431.90,2358.55,2421.90,2402.363490220594802179,11197,1308,26899264.00,5439,48.58,73.35,61.15
18-December-2023,2350.65,2398.25,2350.65,2363.30,2378.565890154735589185,5881,898,13988346.00,3053,51.91,47.60,12.65
15-December-2023,2377.95,2408.70,2365.00,2386.40,2384.185845347313237221,7630,1376,18191338.00,3281,43.00,43.70,8.45
14-December-2023,2428.00,2428.00,2369.50,2376.65,2383.044226516681088356,10401,1148,24786043.00,4644,44.65,58.50,-51.35
13-December-2023,2347.00,2415.30,2330.10,2394.40,2363.064441306978620411,9916,1279,23432147.00,3195,32.22,85.20,47.40
12-December-2023,2288.90,2345.00,2288.90,2334.60,2322.341016949152542372,11800,1454,27403624.00,6510,55.17,56.10,45.70
11-December-2023,2282.30,2300.00,2270.00,2287.60,2292.238238238238238238,5994,703,13739676.00,3303,55.11,30.00,5.30
8-December-2023,2306.40,2317.00,2274.30,2293.30,2294.576462615766885023,8854,893,20316180.00,3802,42.94,42.70,-13.10
7-December-2023,2333.00,2333.00,2289.85,2306.40,2307.445229330414884091,10051,1067,23192132.00,3077,30.61,43.15,-26.60
6-December-2023,2314.75,2347.90,2308.40,2331.90,2332.800420659032484225,4279,543,9982053.00,1332,31.13,39.50,17.15
5-December-2023,2290.00,2326.30,2284.60,2314.75,2310.135504556193047586,5926,924,13689863.00,1813,30.59,41.70,24.75
4-December-2023,2290.00,2309.95,2270.05,2287.10,2289.278553820870994248,9736,1081,22288416.00,2927,30.06,39.90,-2.90
1-December-2023,2183.20,2287.40,2183.20,2277.10,2251.206355022771292467,19103,1736,43004795.00,4866,25.47,104.20,93.90
30-November-2023,2217.95,2221.00,2158.10,2183.15,2191.361868358045952871,23807,2052,52169752.00,10052,42.22,62.90,-34.80
29-November-2023,2174.85,2219.00,2174.85,2208.60,2200.195104785736628088,12788,1441,28136095.00,7708,60.28,44.15,33.75
28-November-2023,2195.70,2197.40,2171.25,2181.00,2183.619497118035251858,11971,1482,26140109.00,4430,37.01,26.15,-14.70
24-November-2023,2187.35,2203.50,2185.85,2195.70,2196.571200255713600767,6257,683,13743946.00,2308,36.89,17.65,8.35
23-November-2023,2173.05,2192.55,2168.00,2186.20,2178.419483101391650099,4024,563,8765960.00,2108,52.39,24.55,13.15
22-November-2023,2180.00,2187.55,2162.00,2170.10,2175.081300813008130081,3444,422,7490980.00,1527,44.34,25.55,-9.90
21-November-2023,2189.00,2189.00,2161.50,2177.95,2170.789877476239551127,8733,840,18957508.00,4600,52.67,27.50,-11.05
20-November-2023,2166.20,2188.95,2151.55,2183.70,2173.614798617479015306,14177,1979,30815337.00,6531,46.07,37.40,17.50
17-November-2023,2131.80,2172.35,2129.80,2166.10,2155.834304207119741100,6180,798,13323056.00,2678,43.33,42.55,34.30
16-November-2023,2147.95,2147.95,2124.85,2128.05,2131.408770806658130601,3124,536,6658521.00,869,27.82,23.10,-19.90
15-November-2023,2130.05,2143.90,2115.00,2135.25,2127.505787220548596797,6307,884,13418179.00,3003,47.61,28.90,5.20
13-November-2023,2110.90,2130.00,2097.70,2126.40,2116.733638025594149908,5470,822,11578533.00,2956,54.04,32.30,15.50
12-November-2023,2149.75,2149.75,2103.30,2110.90,2122.353689567430025445,1179,210,2502255.00,907,76.93,46.45,-38.85
10-November-2023,2127.00,2127.00,2103.60,2106.55,2113.954897494305239179,4390,562,9280262.00,1686,38.41,23.40,-20.45
9-November-2023,2140.00,2146.55,2122.70,2128.65,2135.512748864827104435,5726,573,12227946.00,2411,42.11,23.85,-11.35
8-November-2023,2133.60,2148.40,2122.45,2135.20,2135.533898305084745762,52156,4340,111380906.00,40063,76.81,25.95,1.60
7-November-2023,2119.90,2142.00,2110.00,2116.95,2124.829431831549229502,8501,838,18063175.00,2886,33.95,32.00,-2.95
6-November-2023,2103.65,2124.50,2087.10,2115.70,2109.034912718204488778,5213,672,10994399.00,1476,28.31,37.40,12.05
3-November-2023,2125.60,2131.35,2096.65,2104.05,2107.940119018100669476,8066,1216,17002645.00,2805,34.78,34.70,-21.55
2-November-2023,2122.55,2138.10,2102.00,2124.90,2118.861390667886550777,6558,775,13895493.00,2153,32.83,36.10,2.35
1-November-2023,2109.60,2117.15,2085.00,2090.05,2098.704580152671755725,7860,861,16495818.00,3340,42.49,32.15,-19.55
