Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-October-2023,2031.05,2127.00,2031.05,2114.60,2101.016507135897288932,17447,1508,36656435.00,6409,36.73,95.95,83.55
30-October-2023,2038.00,2090.65,2038.00,2054.00,2065.865778136779752288,7428,843,15345251.00,1834,24.69,52.65,16.00
27-October-2023,2038.15,2088.30,2003.65,2079.85,2053.768958342556111381,22589,2213,46392587.00,5624,24.90,84.65,41.70
26-October-2023,2071.75,2071.75,2028.20,2032.50,2044.736893298317284310,10281,1208,21021940.00,3131,30.45,43.55,-39.25
25-October-2023,2075.50,2100.90,2053.10,2073.30,2076.817794919537172496,7519,687,15615593.00,2671,35.52,47.80,-2.20
23-October-2023,2109.70,2112.10,2062.00,2075.70,2090.869740016081479496,7462,760,15602070.00,2343,31.40,50.10,-34.00
20-October-2023,2090.00,2128.85,2074.40,2109.70,2108.862504335761359694,14415,1543,30399253.00,3155,21.89,54.45,19.70
19-October-2023,2040.05,2102.60,2039.70,2088.20,2080.638164544168182737,9894,1237,20585834.00,3099,31.32,62.90,48.15
18-October-2023,2057.60,2064.70,2048.00,2055.65,2057.495358248036181861,4201,660,8643538.00,2324,55.32,16.70,-1.95
17-October-2023,2073.50,2084.00,2051.90,2069.80,2066.233246832544649671,6551,914,13535894.00,1531,23.37,32.10,-3.70
16-October-2023,2047.95,2089.50,2044.65,2073.50,2066.607940780619111709,7430,928,15354897.00,2852,38.38,44.85,25.55
13-October-2023,2050.00,2079.05,2036.60,2048.05,2059.491820128479657387,11675,1243,24044567.00,4654,39.86,42.45,-1.95
12-October-2023,2070.00,2092.00,2053.30,2061.10,2075.393863013698630136,9125,955,18937969.00,3073,33.68,38.70,-8.90
11-October-2023,2036.80,2090.65,2033.65,2058.45,2066.615361281320148031,16483,1704,34064021.00,4808,29.17,57.00,21.65
10-October-2023,2007.25,2043.25,2003.10,2027.95,2027.569320937752627324,9896,1083,20064826.00,3307,33.42,40.15,20.70
9-October-2023,1971.30,2012.25,1969.40,2000.40,1997.320000000000000000,4850,546,9687002.00,1771,36.52,42.85,29.10
6-October-2023,1999.00,2003.55,1983.75,1992.25,1991.956521739130434782,8809,975,17547145.00,4131,46.90,19.80,-6.75
5-October-2023,1991.15,2005.20,1985.15,1998.55,1991.188920430107526881,58125,1191,115737856.00,46855,80.61,20.05,7.40
4-October-2023,1976.70,2000.35,1976.70,1990.00,1986.738446411012782694,5085,556,10102565.00,2221,43.68,23.65,13.30
3-October-2023,2008.00,2018.90,1970.00,1976.70,1996.620297083378510246,9223,1258,18414829.00,4231,45.87,48.90,-31.30
29-September-2023,1985.00,2011.00,1982.20,2006.15,1998.080826024203397357,9007,1002,17996714.00,3048,33.84,28.80,21.15
28-September-2023,2072.80,2072.80,1968.25,1981.65,2016.057484711512895506,18805,1842,37911961.00,6390,33.98,104.55,-91.15
27-September-2023,2088.55,2096.25,2033.00,2049.80,2063.223406209810766121,32658,2609,67380750.00,10789,33.04,63.25,-38.75
26-September-2023,1997.05,2083.95,1997.05,2074.85,2043.099138991389913899,12195,1452,24915594.00,5814,47.68,86.90,77.80
25-September-2023,2001.30,2013.90,1997.50,2001.65,2003.982640213658908813,5242,700,10504877.00,2309,44.05,16.40,0.35
22-September-2023,1991.20,2013.25,1983.35,2001.50,1999.531877729257641921,4580,530,9157856.00,2296,50.13,29.90,10.30
21-September-2023,2002.00,2018.85,1985.00,1993.05,1995.282150628947508094,37682,3492,75186222.00,31030,82.35,33.85,-8.95
20-September-2023,1993.70,2005.10,1972.50,1999.90,1993.055310385407472786,3399,739,6774395.00,1388,40.84,32.60,6.20
18-September-2023,1986.05,2012.70,1985.35,1993.70,1999.149250535331905781,9340,686,18672054.00,4049,43.35,27.35,7.65
15-September-2023,1954.50,1999.00,1949.75,1979.75,1975.955000000000000000,65800,5496,130017839.00,56252,85.49,49.25,25.25
14-September-2023,1965.05,1974.00,1930.00,1949.80,1947.881563956499223200,38620,1744,75227186.00,28224,73.08,44.00,-15.25
13-September-2023,1955.25,2000.00,1955.25,1964.20,1975.082464838611757563,9883,1135,19519740.00,4316,43.67,44.75,8.95
12-September-2023,2022.00,2022.00,1980.60,1990.85,1992.940037771482530689,14826,1049,29547329.00,11225,75.71,41.40,-31.15
11-September-2023,2015.15,2035.10,2004.05,2010.50,2013.283897671171395801,20053,1541,40372382.00,14320,71.41,31.05,-4.65
8-September-2023,2020.05,2038.35,2007.60,2015.15,2021.429693849905174749,11073,1189,22383291.00,4609,41.62,30.75,-4.90
7-September-2023,2014.00,2031.90,2010.50,2015.65,2018.543229753662856222,12422,1328,25074344.00,8005,64.44,21.40,1.65
6-September-2023,1990.05,2030.60,1990.05,2020.05,2017.378081012969451103,16269,1220,32820724.00,5588,34.35,40.55,30.00
5-September-2023,1930.05,1993.90,1930.05,1986.30,1977.189944885065196935,7439,840,14708316.00,3104,41.73,63.85,56.25
4-September-2023,1938.00,1963.35,1934.00,1940.85,1945.086308645618176453,6778,719,13183795.00,3455,50.97,29.35,2.85
1-September-2023,1941.00,1950.25,1915.00,1938.75,1930.871020408163265306,8575,1030,16557219.00,2590,30.20,35.25,-2.25
31-August-2023,1951.65,1971.00,1934.35,1941.45,1944.800294004643936989,59863,2469,116421580.00,51525,86.07,36.65,-10.20
30-August-2023,1940.05,1979.95,1937.00,1940.40,1959.027041942604856512,9060,984,17748785.00,2558,28.23,42.95,0.35
29-August-2023,1937.20,1969.25,1937.20,1958.20,1957.449163983798940699,9629,1117,18848278.00,4217,43.79,32.05,21.00
28-August-2023,1972.35,1972.35,1933.15,1937.20,1943.607741787273144957,34824,1843,67684196.00,24029,69.00,39.20,-35.15
25-August-2023,1978.00,2001.00,1966.20,1971.05,1984.123314285714285714,17500,1337,34722158.00,4836,27.63,34.80,-6.95
24-August-2023,1946.65,1990.00,1946.65,1974.30,1976.689664752731987405,10798,1406,21344295.00,3530,32.69,43.35,27.65
23-August-2023,1942.85,2003.65,1940.00,1945.85,1977.891584745171860838,186459,3849,368795687.00,144627,77.56,63.65,3.00
22-August-2023,1995.90,2011.05,1909.00,1939.75,1943.026229051576064249,21541,2321,41854728.00,6992,32.46,102.05,-56.15
21-August-2023,1983.00,2007.50,1983.00,1993.00,1994.324827762184230671,3919,690,7815759.00,1380,35.21,24.50,10.00
18-August-2023,1988.95,2013.65,1987.60,1995.20,2004.482830843851623215,36286,2651,72734664.00,30685,84.56,26.05,6.25
17-August-2023,2003.00,2020.25,2000.85,2004.45,2007.734543541173375427,11403,1228,22894197.00,5375,47.14,19.40,1.45
16-August-2023,1950.00,2001.35,1950.00,1998.15,1988.250853084939592363,10843,1076,21558604.00,5251,48.43,51.35,48.15
14-August-2023,1963.00,1989.60,1946.35,1961.55,1969.475618566010474986,11074,1322,21809973.00,3239,29.25,43.25,-1.45
11-August-2023,1977.90,1988.00,1954.00,1963.50,1968.611015785861358956,5828,649,11473065.00,982,16.85,34.00,-14.40
10-August-2023,1970.00,1978.70,1958.75,1963.90,1969.095251091703056768,3664,699,7214765.00,1022,27.89,19.95,-6.10
9-August-2023,2004.75,2004.75,1962.30,1968.50,1967.440212271556867424,31846,2288,62655101.00,26548,83.36,42.45,-36.25
8-August-2023,1990.10,1999.20,1965.70,1975.30,1980.154587581093605189,91715,4540,181609878.00,80744,88.04,33.50,-14.80
7-August-2023,1996.00,2016.85,1991.20,1993.00,2001.982349480290252990,5099,560,10208108.00,2621,51.40,25.65,-3.00
4-August-2023,2000.00,2050.80,1981.70,1995.00,2003.646059657521635058,21724,2388,43527207.00,11355,52.27,69.10,-5.00
3-August-2023,1988.00,2012.55,1971.50,1993.15,1995.110799001248439450,6408,790,12784670.00,1961,30.60,41.05,5.15
2-August-2023,2006.20,2007.00,1978.70,1990.75,1990.132366808109382366,16968,1287,33768566.00,8933,52.65,28.30,-15.45
1-August-2023,2010.65,2027.55,1996.25,2006.20,2012.262352941176470588,5950,829,11972961.00,1538,25.85,31.30,-4.45
31-July-2023,2045.00,2045.00,2002.00,2019.20,2024.737151865475564897,9515,1322,19265374.00,2521,26.50,43.00,-25.80
28-July-2023,2002.00,2061.55,1992.35,2049.05,2038.403168298957440086,44314,4341,90329798.00,11388,25.70,69.20,47.05
27-July-2023,1937.05,2026.70,1891.70,2003.65,1984.844517558891402198,87534,6501,173741380.00,14529,16.60,135.00,66.60
26-July-2023,1897.05,1906.50,1874.65,1883.30,1891.557102345965455014,11637,1109,22012050.00,2443,20.99,31.85,-13.75
25-July-2023,1898.00,1901.00,1870.05,1897.60,1887.493739312703403386,18129,2090,34218374.00,9811,54.12,30.95,-0.40
24-July-2023,1832.20,1897.35,1828.50,1889.60,1865.328652624540287529,14955,2072,27895990.00,4758,31.82,68.85,57.40
21-July-2023,1828.05,1845.00,1821.30,1832.70,1832.495536309127248500,7505,914,13752879.00,2817,37.53,23.70,4.65
20-July-2023,1839.95,1846.30,1819.85,1837.65,1837.468149038461538461,4992,555,9172641.00,1532,30.69,26.45,-2.30
19-July-2023,1838.15,1848.00,1825.70,1828.60,1834.624117118274046487,7787,1088,14286218.00,3285,42.19,22.30,-9.55
18-July-2023,1837.00,1855.75,1832.65,1838.10,1842.983705414421349756,7794,1204,14364215.00,2289,29.37,23.10,1.10
17-July-2023,1835.85,1854.30,1825.85,1838.25,1841.894498080725834593,8597,1066,15834767.00,2816,32.76,28.45,2.40
14-July-2023,1824.95,1839.20,1807.65,1835.85,1826.829199843362485315,15322,1605,27990677.00,6878,44.89,31.55,10.90
13-July-2023,1795.00,1815.00,1786.80,1806.35,1803.986048265460030165,15912,1669,28705026.00,6386,40.13,28.20,11.35
12-July-2023,1809.95,1809.95,1781.00,1797.30,1793.637024369388627618,11695,1651,20976585.00,6164,52.71,28.95,-12.65
11-July-2023,1787.95,1806.00,1753.30,1799.00,1795.285053245436105476,15776,1594,28322417.00,4359,27.63,52.70,11.05
10-July-2023,1765.55,1786.15,1753.75,1779.20,1766.180014049877063575,11388,994,20113258.00,4571,40.14,32.40,13.65
7-July-2023,1775.05,1791.40,1761.50,1765.50,1775.069828256413880839,14149,2488,25115463.00,5475,38.70,29.90,-9.55
6-July-2023,1785.05,1807.95,1769.00,1780.35,1783.571398659966499162,14328,1766,25555011.00,4563,31.85,38.95,-4.70
5-July-2023,1721.00,1799.95,1713.15,1793.35,1772.164515008152246545,74826,8047,132603982.00,40887,54.64,86.80,72.35
4-July-2023,1691.05,1718.00,1675.95,1706.95,1692.585855687849662889,6971,1030,11799016.00,3229,46.32,42.05,15.90
3-July-2023,1690.00,1693.90,1673.75,1689.15,1684.098678117369706154,11877,1466,20002040.00,6594,55.52,20.15,-0.85
30-June-2023,1690.00,1693.80,1675.45,1689.70,1685.047070506454816285,10070,1554,16968424.00,6593,65.47,18.35,-0.30
28-June-2023,1693.00,1704.90,1677.65,1689.10,1687.871223152530032763,10988,1590,18546329.00,6486,59.03,27.25,-3.90
27-June-2023,1667.00,1695.00,1667.00,1692.75,1683.950099634672866157,12044,1204,20281495.00,7297,60.59,28.00,25.75
26-June-2023,1625.05,1670.00,1625.00,1667.05,1659.563727428496111770,7587,893,12591110.00,3469,45.72,45.00,42.00
23-June-2023,1626.05,1640.70,1625.15,1630.95,1634.201859024012393493,6455,690,10548773.00,4241,65.70,15.55,4.90
22-June-2023,1652.95,1652.95,1626.25,1636.90,1635.003651354534746760,8490,1624,13881181.00,4379,51.58,26.70,-16.05
21-June-2023,1642.50,1683.00,1640.00,1653.15,1662.078640394949539079,22889,2256,38043318.00,13735,60.01,43.00,10.65
20-June-2023,1648.00,1656.70,1640.00,1645.30,1649.065699658703071672,2344,375,3865410.00,982,41.89,16.70,-2.70
19-June-2023,1643.40,1678.50,1643.40,1648.95,1663.198559109267547211,9161,913,15236562.00,3566,38.93,35.10,5.55
16-June-2023,1641.05,1665.45,1639.55,1658.40,1657.621951219512195121,6232,919,10330300.00,1871,30.02,25.90,17.35
15-June-2023,1647.00,1662.00,1641.30,1644.75,1653.645046439628482972,6460,1007,10682547.00,3559,55.09,20.70,-2.25
14-June-2023,1644.45,1661.60,1638.55,1647.55,1651.640615976900866217,5195,825,8580273.00,2641,50.84,23.05,3.10
13-June-2023,1620.05,1667.95,1620.05,1647.80,1654.565299157205544333,14357,1381,23754594.00,7563,52.68,47.90,27.75
12-June-2023,1596.75,1629.65,1594.00,1625.15,1615.850656660412757973,5330,816,8612484.00,2678,50.24,35.65,28.40
9-June-2023,1632.00,1632.00,1594.00,1595.70,1605.698362445414847161,9160,875,14708197.00,4016,43.84,38.00,-36.30
8-June-2023,1635.00,1636.25,1611.90,1619.60,1621.474459945994599459,8888,861,14411665.00,3990,44.89,24.35,-15.40
7-June-2023,1621.35,1641.65,1621.35,1636.25,1636.197568940493468795,22048,1883,36074884.00,14114,64.01,20.30,14.90
6-June-2023,1602.00,1624.75,1600.45,1620.25,1612.769287598944591029,9475,1256,15280989.00,5842,61.66,24.30,18.25
5-June-2023,1614.95,1621.75,1600.00,1607.95,1607.913305439330543933,5975,730,9607282.00,2320,38.83,21.75,-7.00
2-June-2023,1610.20,1619.15,1604.10,1608.80,1609.520801929454326198,6634,758,10677561.00,2727,41.11,15.05,-1.40
1-June-2023,1595.00,1625.00,1595.00,1610.20,1614.173691624227977028,9229,1203,14897209.00,4949,53.62,30.00,15.20
31-May-2023,1590.00,1625.00,1567.65,1594.95,1591.495506954987485125,24371,2329,38786337.00,13242,54.34,57.35,4.95
30-May-2023,1603.00,1609.00,1588.60,1591.15,1598.460262828535669586,3196,642,5108679.00,853,26.69,20.40,-11.85
29-May-2023,1593.05,1613.00,1593.05,1605.30,1606.968805075784279168,5674,774,9117941.00,2444,43.07,19.95,12.25
26-May-2023,1582.35,1602.00,1576.45,1599.20,1590.149132562277580071,8992,1152,14298621.00,4282,47.62,25.55,16.85
25-May-2023,1585.05,1596.55,1569.00,1582.15,1577.584042947056645686,5402,773,8522109.00,2240,41.47,27.55,-2.90
24-May-2023,1580.05,1606.70,1580.05,1593.30,1597.971949932136932589,6631,1020,10596152.00,2925,44.11,26.65,13.25
23-May-2023,1611.50,1616.45,1583.30,1586.10,1596.297242429368973100,5911,1003,9435713.00,2105,35.61,33.15,-25.40
22-May-2023,1598.05,1618.00,1594.90,1611.50,1605.061748281786941580,9312,1319,14946335.00,5091,54.67,23.10,13.45
19-May-2023,1612.05,1622.35,1602.50,1608.85,1611.116592999641619878,8371,1396,13486657.00,3032,36.22,19.85,-3.20
18-May-2023,1663.25,1683.60,1632.55,1635.75,1643.229194985651714242,13242,1020,21759641.00,7564,57.12,51.05,-27.50
17-May-2023,1646.05,1680.00,1641.00,1663.25,1661.736202238517946738,5182,776,8611117.00,1487,28.70,39.00,17.20
16-May-2023,1680.00,1698.00,1657.55,1660.35,1677.486490146949278797,14767,2098,24771443.00,7126,48.26,40.45,-19.65
15-May-2023,1600.10,1713.00,1600.10,1674.35,1681.072712398046458586,40337,3960,67809430.00,16956,42.04,112.90,74.25
12-May-2023,1616.40,1644.35,1616.40,1626.30,1632.353456776596910266,9127,1196,14898490.00,2589,28.37,27.95,9.90
11-May-2023,1604.60,1628.50,1604.60,1624.35,1617.302021018593371059,6185,1053,10003013.00,3426,55.39,23.90,19.75
10-May-2023,1594.95,1607.00,1583.25,1603.60,1597.234111310592459605,5570,1022,8896594.00,2648,47.54,23.75,8.65
9-May-2023,1567.05,1590.80,1567.05,1581.90,1582.999440924338427133,10732,1323,16988750.00,5059,47.14,23.75,14.85
8-May-2023,1567.40,1584.00,1563.20,1573.35,1574.481820744081172491,7096,1271,11172523.00,2988,42.11,20.80,5.95
5-May-2023,1575.05,1599.75,1562.40,1568.05,1585.931840697444026154,5047,955,8004198.00,1311,25.98,37.35,-7.00
4-May-2023,1584.25,1586.30,1569.60,1584.10,1578.992609879424348502,2571,379,4059590.00,1174,45.66,16.70,-0.15
3-May-2023,1574.10,1591.15,1574.10,1584.25,1581.657024793388429752,2420,324,3827610.00,1177,48.64,17.05,10.15
2-May-2023,1575.85,1591.65,1573.00,1574.10,1578.733676975945017182,2910,465,4594115.00,1920,65.98,18.65,-1.75
28-April-2023,1575.05,1597.30,1560.75,1594.35,1584.572769071971474148,10657,1561,16886792.00,7327,68.75,36.55,19.30
27-April-2023,1562.20,1585.00,1562.20,1579.55,1575.650392428439519852,8664,1601,13651435.00,5972,68.93,22.80,17.35
26-April-2023,1535.85,1580.00,1535.85,1574.70,1570.415699658703071672,5860,893,9202636.00,3756,64.10,44.15,38.85
25-April-2023,1569.50,1580.00,1563.55,1567.65,1572.441900400686891814,3494,652,5494112.00,1257,35.98,16.45,-1.85
24-April-2023,1540.00,1575.40,1540.00,1569.50,1558.364384748700173310,4616,915,7193410.00,2486,53.86,35.40,29.50
21-April-2023,1524.15,1544.60,1524.15,1538.00,1538.033396584440227703,2635,432,4052718.00,1366,51.84,20.45,13.85
20-April-2023,1530.05,1538.00,1520.30,1534.90,1531.124676165803108808,3088,649,4728113.00,1926,62.37,17.70,4.85
19-April-2023,1533.05,1554.20,1526.50,1528.60,1535.000975134080936128,6153,1101,9444861.00,3217,52.28,27.70,-4.45
18-April-2023,1550.00,1572.00,1547.85,1551.45,1556.336949585194639438,3134,471,4877560.00,1641,52.36,24.15,1.45
17-April-2023,1541.90,1569.00,1541.90,1558.85,1561.202703851713289686,11761,1502,18361305.00,6093,51.81,27.10,16.95
13-April-2023,1541.40,1561.25,1541.40,1550.30,1550.998128933492090491,5879,828,9118318.00,3937,66.97,19.85,8.90
12-April-2023,1527.05,1564.50,1527.05,1556.75,1554.513187641296156744,9289,1519,14439873.00,6063,65.27,37.45,29.70
11-April-2023,1534.05,1545.00,1524.15,1537.70,1535.909424379232505643,3544,799,5443263.00,1230,34.71,20.85,3.65
10-April-2023,1525.05,1546.90,1525.05,1535.60,1538.699810349498780818,7382,1068,11358682.00,4720,63.94,21.85,10.55
6-April-2023,1540.00,1543.45,1525.30,1540.85,1536.784164859002169197,3688,643,5667660.00,1512,41.00,18.15,0.85
5-April-2023,1507.25,1543.80,1507.25,1539.90,1530.711223203026481715,3965,918,6069270.00,1946,49.08,36.55,32.65
3-April-2023,1506.95,1527.35,1492.90,1524.25,1512.432044887780548628,4812,734,7277823.00,3199,66.48,34.45,17.30
31-March-2023,1500.00,1509.95,1493.75,1506.95,1501.274022768887827402,12561,1260,18857503.00,9494,75.58,16.20,6.95
29-March-2023,1498.15,1513.05,1490.70,1495.90,1499.235001185677021579,4217,752,6322274.00,1976,46.86,22.35,-2.25
28-March-2023,1493.05,1510.05,1493.05,1497.45,1498.794878892733564013,7225,982,10828793.00,5247,72.62,17.00,4.40
27-March-2023,1501.00,1511.05,1490.50,1502.10,1503.371826136852675369,6971,1214,10480005.00,3938,56.49,20.55,1.10
24-March-2023,1529.95,1529.95,1496.50,1500.95,1514.494544592030360531,4216,797,6385109.00,1257,29.81,33.45,-29.00
23-March-2023,1500.05,1522.75,1498.85,1520.45,1513.811419060713510384,13819,1493,20919360.00,9638,69.74,23.90,20.40
22-March-2023,1490.05,1507.40,1490.05,1504.50,1501.571428571428571428,3360,466,5045280.00,2273,67.65,17.35,14.45
21-March-2023,1485.05,1502.75,1485.05,1495.15,1494.916887417218543046,3020,478,4514649.00,1590,52.65,17.70,10.10
20-March-2023,1489.95,1509.75,1482.10,1497.25,1496.728498705010270608,11197,1666,16758869.00,5100,45.55,27.65,7.30
17-March-2023,1500.00,1500.00,1483.25,1491.20,1491.954543668722743880,25453,2040,37974719.00,21288,83.64,16.75,-8.80
16-March-2023,1500.00,1507.20,1487.00,1499.75,1498.236297998030850016,12188,1665,18260504.00,6107,50.11,20.20,-0.25
15-March-2023,1497.70,1502.95,1478.85,1500.20,1491.804674705969927050,6717,938,10020452.00,2043,30.42,24.10,2.50
14-March-2023,1502.00,1505.20,1487.55,1500.05,1496.078667351581419241,13627,1992,20387064.00,9111,66.86,17.65,-1.95
13-March-2023,1496.70,1509.35,1487.00,1502.05,1497.999056809112675034,13783,1607,20646921.00,7293,52.91,22.35,5.35
10-March-2023,1485.00,1501.80,1476.65,1497.65,1490.534036939313984168,3790,615,5649124.00,2037,53.75,25.15,12.65
9-March-2023,1489.05,1503.95,1485.75,1488.20,1496.561788274989455925,4742,893,7096696.00,2425,51.14,18.20,-0.85
8-March-2023,1499.00,1508.60,1489.20,1502.45,1496.588907014681892332,3065,603,4587045.00,1091,35.60,19.40,3.45
6-March-2023,1498.85,1513.00,1493.50,1507.55,1504.835754087877957431,10947,1388,16473437.00,5842,53.37,19.50,8.70
3-March-2023,1497.05,1505.95,1478.25,1502.85,1496.624751036227593260,18577,2431,27802798.00,10643,57.29,27.70,5.80
2-March-2023,1480.00,1499.75,1479.00,1497.85,1494.176752040529130312,7106,943,10617620.00,3289,46.28,20.75,17.85
1-March-2023,1468.50,1486.55,1468.50,1479.35,1479.357691933443611949,10277,1242,15203359.00,6895,67.09,18.05,10.85
28-February-2023,1460.00,1481.45,1454.25,1473.70,1469.515316148422147728,8651,1229,12712777.00,4645,53.69,27.20,13.70
27-February-2023,1466.65,1466.65,1446.90,1460.10,1454.278759858580364427,3677,809,5347383.00,1426,38.78,19.75,-6.55
24-February-2023,1454.50,1467.05,1454.50,1464.15,1463.289087226231168502,15798,1987,23117041.00,12737,80.62,12.55,9.65
23-February-2023,1469.95,1469.95,1447.05,1453.05,1453.356544627901411821,4179,905,6073577.00,1465,35.06,22.90,-16.90
22-February-2023,1452.05,1460.50,1444.00,1459.10,1453.743614551083591331,5168,566,7512947.00,3215,62.21,16.50,7.05
21-February-2023,1453.00,1464.00,1448.35,1455.45,1456.546496539792387543,4624,710,6735071.00,2316,50.09,15.65,2.45
20-February-2023,1464.25,1464.25,1448.75,1452.35,1454.872757713465678067,4181,919,6082823.00,2137,51.11,15.50,-11.90
17-February-2023,1449.85,1459.90,1442.00,1455.55,1449.961408160259242892,6789,1246,9843788.00,2977,43.85,17.90,5.70
16-February-2023,1458.05,1462.60,1445.75,1451.95,1456.779859484777517564,3843,550,5598405.00,2617,68.10,16.85,-6.10
15-February-2023,1442.50,1460.00,1437.50,1458.10,1449.361892583120204603,2346,487,3400203.00,851,36.27,22.50,15.60
14-February-2023,1452.05,1461.60,1440.05,1442.40,1447.708697889861039629,7772,1348,11251592.00,4480,57.64,21.55,-9.65
13-February-2023,1470.30,1470.30,1451.65,1454.55,1456.526078799249530956,2665,406,3881642.00,1223,45.89,18.65,-15.75
10-February-2023,1465.00,1470.50,1460.00,1466.20,1463.544329432943294329,4444,817,6503991.00,2138,48.11,10.50,1.20
9-February-2023,1457.00,1472.45,1452.50,1468.10,1465.180741772592721574,5743,933,8414533.00,2217,38.60,19.95,11.10
8-February-2023,1462.05,1469.10,1450.50,1458.00,1456.601652478718077115,7988,1150,11635334.00,3474,43.49,18.60,-4.05
