Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-July-2023,112.40,113.60,112.35,112.90,112.997464859361234487,2624312,16761,296540603.00,1211286,46.16,1.25,0.50
4-July-2023,112.80,113.40,112.10,112.40,112.769185991915328969,1820977,11284,205350094.00,1197673,65.77,1.30,-0.40
3-July-2023,112.05,114.25,112.05,113.05,113.338154255876492167,3273509,23701,371013468.00,2084207,63.67,2.20,1.00
30-June-2023,111.50,112.20,110.50,112.00,111.625726691496131920,1117221,10742,124710606.00,324816,29.07,1.70,0.50
28-June-2023,111.15,112.10,110.90,111.55,111.483022848750986728,1107194,8135,123433334.00,350527,31.66,1.20,0.40
27-June-2023,110.80,111.50,110.20,110.70,110.854592490952464702,1290683,8822,143078138.00,322295,24.97,1.30,-0.10
26-June-2023,109.55,110.25,108.15,109.85,109.086539544333883608,1669468,13669,182116487.00,904834,54.20,2.10,0.30
23-June-2023,110.65,110.70,109.20,109.60,110.013992307134044560,1791270,8342,197064764.00,814120,45.45,1.50,-1.05
22-June-2023,111.30,112.15,110.60,111.10,111.413292741643711470,2540093,13536,283000125.00,1175483,46.28,1.55,-0.20
21-June-2023,114.70,114.85,112.85,113.90,113.675401957215465079,3197604,19248,363488920.00,1926639,60.25,2.00,-0.80
20-June-2023,114.05,115.25,113.50,114.30,114.409922654901475009,1727582,7949,197652523.00,448796,25.98,1.75,0.25
19-June-2023,115.25,115.50,113.05,114.00,114.099208493987620562,2185075,12026,249315328.00,1006612,46.07,2.45,-1.25
16-June-2023,114.25,114.85,113.85,114.25,114.161555743736021522,1974464,9677,225407882.00,1171238,59.32,1.00,0.00
15-June-2023,113.80,114.20,113.25,113.70,113.755032613185852826,1759871,9378,200194183.00,630674,35.84,0.95,-0.10
14-June-2023,111.10,114.00,111.10,113.75,113.182493499475728535,3168206,14219,358585455.00,950245,29.99,2.90,2.65
13-June-2023,110.00,111.85,109.70,111.10,110.765181553617674915,1772727,7242,196356428.00,608254,34.31,2.15,1.10
12-June-2023,108.90,110.60,108.90,109.50,109.764755985191549083,1219844,8284,133895879.00,359115,29.44,1.70,0.60
9-June-2023,111.15,111.60,108.70,108.90,109.494845390581883761,1732236,11355,189670913.00,634131,36.61,2.90,-2.25
8-June-2023,111.50,113.00,110.95,111.10,111.890197291509376880,4115281,23149,460459603.00,2272828,55.23,2.05,-0.40
7-June-2023,109.30,111.75,108.95,111.50,110.049463377838893020,2351841,13322,258818840.00,1155277,49.12,2.80,2.20
6-June-2023,109.65,109.85,108.30,109.00,108.976589725876727501,1036468,8202,112950748.00,407273,39.29,1.55,-0.65
5-June-2023,108.50,109.90,107.80,109.35,108.655691102318364525,2291788,10127,249015809.00,954914,41.67,2.10,0.85
2-June-2023,106.30,108.25,106.30,108.00,107.344056362204870821,2043639,7947,219372500.00,846238,41.41,1.95,1.70
1-June-2023,105.85,106.65,105.80,105.95,106.213307132611767700,2263042,14975,240365175.00,1359998,60.10,0.85,0.10
31-May-2023,106.20,106.95,105.65,105.85,106.305344140390282045,1905545,20009,202569617.00,809000,42.46,1.30,-0.35
30-May-2023,108.80,108.95,106.90,107.15,107.865113416593742149,2965395,12982,319862668.00,1873114,63.17,2.05,-1.65
